"Group","Condition","Polarity","Response","subject.ID","gender","age","exp","trial","item.typ","obj.loc","character","verb","Greek.sentence","English.translation"
"Adult","AI","Positive","3 strawberries","P2","male","24","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Adult","AI","Negative","1 strawberry","P2","male","24","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Adult","AI","Negative","1 strawberry","P2","male","24","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Adult","AI","Negative","1 strawberry","P3","male","43","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Adult","AI","Positive","3 strawberries","P3","male","43","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Adult","AI","Positive","2 strawberries","P3","male","43","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Adult","AI","Positive","1 strawberry","P3","male","43","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Adult","AI","Negative","1 strawberry","P3","male","43","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Adult","AI","Negative","1 strawberry","P3","male","43","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Adult","AI","Negative","1 strawberry","P4","male","32","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Adult","AI","Positive","2 strawberries","P4","male","32","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Adult","AI","Positive","2 strawberries","P4","male","32","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Adult","AI","Positive","2 strawberries","P4","male","32","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Adult","AI","Negative","2 strawberries","P4","male","32","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Adult","AI","Negative","2 strawberries","P4","male","32","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Adult","AI","Negative","1 strawberry","P7","female","25","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Adult","AI","Positive","3 strawberries","P7","female","25","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Adult","AI","Positive","2 strawberries","P7","female","25","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Adult","AI","Positive","2 strawberries","P7","female","25","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Adult","AI","Negative","1 strawberry","P7","female","25","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Adult","AI","Negative","1 strawberry","P7","female","25","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Adult","AI","Negative","1 strawberry","P9","male","22","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Adult","AI","Positive","3 strawberries","P9","male","22","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Adult","AI","Positive","2 strawberries","P9","male","22","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Adult","AI","Positive","2 strawberries","P9","male","22","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Adult","AI","Negative","1 strawberry","P9","male","22","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Adult","AI","Negative","1 strawberry","P9","male","22","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Adult","AI","Negative","1 strawberry","P10","female","23","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Adult","AI","Positive","2 strawberries","P10","female","23","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Adult","AI","Positive","2 strawberries","P10","female","23","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Adult","AI","Positive","2 strawberries","P10","female","23","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Adult","AI","Negative","1 strawberry","P10","female","23","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Adult","AI","Negative","1 strawberry","P10","female","23","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
